episode,timestep,return
419,81906,-97.0
420,82014,-108.0
421,82121,-107.0
422,82231,-110.0
423,82336,-105.0
424,82447,-111.0
425,82624,-177.0
426,82731,-107.0
427,82846,-115.0
428,82954,-108.0
429,83067,-113.0
430,83181,-114.0
431,83290,-109.0
432,83400,-110.0
433,83515,-115.0
434,83618,-103.0
435,83714,-96.0
436,83825,-111.0
437,83935,-110.0
438,84045,-110.0
439,84165,-120.0
440,84272,-107.0
441,84379,-107.0
442,84499,-120.0
443,84609,-110.0
444,84719,-110.0
445,84823,-104.0
446,84940,-117.0
447,85046,-106.0
448,85153,-107.0
449,85259,-106.0
450,85367,-108.0
451,85474,-107.0
452,85581,-107.0
453,85692,-111.0
454,85800,-108.0
455,85912,-112.0
456,86033,-121.0
457,86144,-111.0
458,86318,-174.0
459,86424,-106.0
460,86512,-88.0
461,86626,-114.0
462,86734,-108.0
463,86845,-111.0
464,86951,-106.0
465,87055,-104.0
466,87163,-108.0
467,87277,-114.0
468,87394,-117.0
469,87552,-158.0
470,87661,-109.0
471,87752,-91.0
472,87868,-116.0
473,87987,-119.0
474,88216,-229.0
475,88375,-159.0
476,88472,-97.0
477,88588,-116.0
478,88682,-94.0
479,88798,-116.0
480,88963,-165.0
481,89123,-160.0
482,89223,-100.0
483,89377,-154.0
484,89488,-111.0
485,89598,-110.0
486,89697,-99.0
487,89789,-92.0
488,89957,-168.0
489,90123,-166.0
490,90216,-93.0
491,90381,-165.0
492,90547,-166.0
493,90635,-88.0
494,90740,-105.0
495,90870,-130.0
496,91038,-168.0
497,91191,-153.0
498,91363,-172.0
499,91464,-101.0
500,91619,-155.0
501,91772,-153.0
502,91942,-170.0
503,92103,-161.0
504,92260,-157.0
505,92363,-103.0
506,92451,-88.0
507,92562,-111.0
508,92727,-165.0
509,92877,-150.0
510,92971,-94.0
511,93072,-101.0
512,93227,-155.0
513,93327,-100.0
514,93485,-158.0
515,93638,-153.0
516,93797,-159.0
517,93882,-85.0
518,94034,-152.0
519,94183,-149.0
520,94353,-170.0
521,94470,-117.0
522,94575,-105.0
523,94719,-144.0
524,94891,-172.0
525,94998,-107.0
526,95169,-171.0
527,95271,-102.0
528,95382,-111.0
529,95535,-153.0
530,95690,-155.0
531,95846,-156.0
532,95957,-111.0
533,96110,-153.0
534,96198,-88.0
535,96317,-119.0
536,96468,-151.0
537,96555,-87.0
538,96678,-123.0
539,96831,-153.0
540,96989,-158.0
541,97139,-150.0
542,97232,-93.0
543,97338,-106.0
544,97448,-110.0
545,97556,-108.0
546,97715,-159.0
547,97823,-108.0
548,97931,-108.0
549,98022,-91.0
550,98266,-244.0
551,98375,-109.0
552,98465,-90.0
553,98614,-149.0
554,98786,-172.0
555,98873,-87.0
556,99019,-146.0
557,99198,-179.0
558,99302,-104.0
559,99411,-109.0
560,99508,-97.0
561,99615,-107.0
562,99723,-108.0
563,99827,-104.0
564,99938,-111.0
565,100050,-112.0
566,100216,-166.0
567,100310,-94.0
568,100467,-157.0
569,100572,-105.0
570,100664,-92.0
571,100782,-118.0
572,100897,-115.0
573,101003,-106.0
574,101115,-112.0
575,101237,-122.0
576,101335,-98.0
577,101443,-108.0
578,101548,-105.0
579,101655,-107.0
580,101754,-99.0
581,101861,-107.0
582,101954,-93.0
583,102043,-89.0
584,102152,-109.0
585,102243,-91.0
586,102350,-107.0
587,102463,-113.0
588,102569,-106.0
589,102661,-92.0
590,102771,-110.0
591,102883,-112.0
592,102970,-87.0
593,103076,-106.0
594,103190,-114.0
595,103301,-111.0
596,103411,-110.0
597,103517,-106.0
598,103624,-107.0
599,103735,-111.0
600,103845,-110.0
601,103953,-108.0
602,104065,-112.0
603,104175,-110.0
604,104281,-106.0
605,104374,-93.0
606,104487,-113.0
607,104595,-108.0
608,104715,-120.0
609,104829,-114.0
610,104942,-113.0
611,105069,-127.0
612,105180,-111.0
613,105291,-111.0
614,105408,-117.0
615,105544,-136.0
616,105657,-113.0
617,105745,-88.0
618,105858,-113.0
619,105960,-102.0
620,106047,-87.0
621,106151,-104.0
622,106256,-105.0
623,106368,-112.0
624,106484,-116.0
625,106588,-104.0
626,106696,-108.0
627,106813,-117.0
628,106918,-105.0
629,107032,-114.0
630,107139,-107.0
631,107250,-111.0
632,107374,-124.0
633,107483,-109.0
634,107604,-121.0
635,107712,-108.0
636,107817,-105.0
637,107925,-108.0
638,108019,-94.0
639,108139,-120.0
640,108250,-111.0
641,108356,-106.0
642,108543,-187.0
643,108653,-110.0
644,108758,-105.0
645,108878,-120.0
646,108985,-107.0
647,109084,-99.0
648,109198,-114.0
649,109300,-102.0
650,109416,-116.0
651,109513,-97.0
652,109646,-133.0
653,109759,-113.0
654,109870,-111.0
655,109981,-111.0
656,110100,-119.0
657,110200,-100.0
658,110312,-112.0
659,110429,-117.0
660,110535,-106.0
661,110651,-116.0
662,110734,-83.0
663,110843,-109.0
664,110950,-107.0
665,111055,-105.0
666,111169,-114.0
667,111287,-118.0
668,111396,-109.0
669,111508,-112.0
670,111640,-132.0
671,111743,-103.0
672,111864,-121.0
673,111973,-109.0
674,112085,-112.0
675,112188,-103.0
676,112300,-112.0
677,112405,-105.0
678,112524,-119.0
679,112630,-106.0
680,112732,-102.0
681,112836,-104.0
682,112954,-118.0
683,113065,-111.0
684,113174,-109.0
685,113287,-113.0
686,113371,-84.0
687,113481,-110.0
688,113586,-105.0
689,113704,-118.0
690,113791,-87.0
691,113888,-97.0
692,113996,-108.0
693,114090,-94.0
694,114198,-108.0
695,114315,-117.0
696,114425,-110.0
697,114532,-107.0
698,114637,-105.0
699,114749,-112.0
700,114832,-83.0
701,114942,-110.0
702,115057,-115.0
703,115173,-116.0
704,115266,-93.0
705,115376,-110.0
706,115465,-89.0
707,115572,-107.0
708,115684,-112.0
709,115794,-110.0
710,115878,-84.0
711,115989,-111.0
712,116108,-119.0
713,116227,-119.0
714,116347,-120.0
715,116473,-126.0
716,116568,-95.0
717,116731,-163.0
718,116845,-114.0
719,116947,-102.0
720,117050,-103.0
721,117174,-124.0
722,117330,-156.0
723,117459,-129.0
724,117589,-130.0
725,117683,-94.0
726,117777,-94.0
727,117943,-166.0
728,118062,-119.0
729,118177,-115.0
730,118261,-84.0
731,118444,-183.0
732,118557,-113.0
733,118676,-119.0
734,118790,-114.0
735,118878,-88.0
736,119000,-122.0
737,119116,-116.0
738,119225,-109.0
739,119332,-107.0
740,119455,-123.0
741,119547,-92.0
742,119657,-110.0
743,119763,-106.0
744,119962,-199.0
745,120049,-87.0
746,120165,-116.0
747,120281,-116.0
748,120374,-93.0
749,120464,-90.0
750,120560,-96.0
751,120675,-115.0
752,120792,-117.0
753,120879,-87.0
754,120989,-110.0
755,121100,-111.0
756,121227,-127.0
757,121319,-92.0
758,121434,-115.0
759,121548,-114.0
760,121703,-155.0
761,121820,-117.0
762,121908,-88.0
763,122003,-95.0
764,122110,-107.0
765,122228,-118.0
766,122336,-108.0
767,122449,-113.0
768,122560,-111.0
769,122672,-112.0
770,122784,-112.0
771,122899,-115.0
772,123002,-103.0
773,123114,-112.0
774,123225,-111.0
775,123318,-93.0
776,123437,-119.0
777,123534,-97.0
778,123721,-187.0
779,123832,-111.0
780,123943,-111.0
781,124030,-87.0
782,124195,-165.0
783,124302,-107.0
784,124420,-118.0
785,124543,-123.0
786,124652,-109.0
787,124757,-105.0
788,124862,-105.0
789,124967,-105.0
790,125059,-92.0
791,125176,-117.0
792,125286,-110.0
793,125390,-104.0
794,125481,-91.0
795,125590,-109.0
796,125769,-179.0
797,125855,-86.0
798,125963,-108.0
799,126089,-126.0
800,126185,-96.0
801,126296,-111.0
802,126387,-91.0
803,126494,-107.0
804,126608,-114.0
805,126723,-115.0
806,126854,-131.0
807,126965,-111.0
808,127094,-129.0
809,127183,-89.0
810,127302,-119.0
811,127406,-104.0
812,127515,-109.0
813,127624,-109.0
814,127731,-107.0
815,127843,-112.0
816,127953,-110.0
817,128073,-120.0
818,128177,-104.0
819,128283,-106.0
820,128389,-106.0
821,128479,-90.0
822,128603,-124.0
823,128712,-109.0
824,128819,-107.0
825,128926,-107.0
826,129036,-110.0
827,129145,-109.0
828,129313,-168.0
829,129421,-108.0
830,129531,-110.0
831,129647,-116.0
832,129754,-107.0
833,129851,-97.0
834,129958,-107.0
835,130071,-113.0
836,130170,-99.0
837,130261,-91.0
838,130387,-126.0
839,130490,-103.0
840,130600,-110.0
841,130701,-101.0
842,130809,-108.0
843,130897,-88.0
844,130989,-92.0
845,131094,-105.0
846,131199,-105.0
847,131309,-110.0
848,131419,-110.0
849,131527,-108.0
850,131623,-96.0
851,131730,-107.0
852,131839,-109.0
853,131947,-108.0
854,132064,-117.0
855,132164,-100.0
856,132272,-108.0
857,132359,-87.0
858,132468,-109.0
859,132572,-104.0
860,132667,-95.0
861,132776,-109.0
862,132859,-83.0
863,132964,-105.0
864,133058,-94.0
865,133168,-110.0
866,133279,-111.0
867,133454,-175.0
868,133558,-104.0
869,133727,-169.0
870,133831,-104.0
871,133935,-104.0
872,134048,-113.0
873,134156,-108.0
874,134270,-114.0
875,134374,-104.0
876,134488,-114.0
877,134606,-118.0
878,134727,-121.0
879,134841,-114.0
880,134930,-89.0
881,135035,-105.0
882,135185,-150.0
883,135367,-182.0
884,135453,-86.0
885,135568,-115.0
886,135738,-170.0
887,135852,-114.0
888,135942,-90.0
889,136063,-121.0
890,136178,-115.0
891,136288,-110.0
892,136404,-116.0
893,136511,-107.0
894,136617,-106.0
895,136723,-106.0
896,136843,-120.0
897,137005,-162.0
898,137115,-110.0
899,137271,-156.0
900,137360,-89.0
901,137480,-120.0
902,137663,-183.0
903,137777,-114.0
904,137957,-180.0
905,138071,-114.0
906,138176,-105.0
907,138286,-110.0
908,138469,-183.0
909,138556,-87.0
910,138712,-156.0
911,138883,-171.0
912,138998,-115.0
913,139109,-111.0
914,139219,-110.0
915,139330,-111.0
916,139490,-160.0
917,139617,-127.0
918,139790,-173.0
919,139902,-112.0
920,139990,-88.0
921,140092,-102.0
922,140217,-125.0
923,140327,-110.0
924,140482,-155.0
925,140591,-109.0
926,140692,-101.0
927,140797,-105.0
928,140915,-118.0
929,141039,-124.0
930,141156,-117.0
931,141312,-156.0
932,141407,-95.0
933,141519,-112.0
934,141636,-117.0
935,141747,-111.0
936,141848,-101.0
937,141965,-117.0
938,142083,-118.0
939,142192,-109.0
940,142313,-121.0
941,142418,-105.0
942,142507,-89.0
943,142664,-157.0
944,142768,-104.0
945,142881,-113.0
946,143046,-165.0
947,143155,-109.0
948,143250,-95.0
949,143405,-155.0
950,143514,-109.0
951,143628,-114.0
952,143801,-173.0
953,143947,-146.0
954,144037,-90.0
955,144123,-86.0
956,144291,-168.0
957,144460,-169.0
958,144572,-112.0
959,144685,-113.0
960,144822,-137.0
961,144929,-107.0
962,145028,-99.0
963,145228,-200.0
964,145340,-112.0
965,145453,-113.0
966,145560,-107.0
967,145690,-130.0
968,145825,-135.0
