episode,timestep,return,ep_length,epsilon
305,112919,-136.0,136,0.050000000000000044
306,113081,-162.0,162,0.050000000000000044
307,113199,-118.0,118,0.050000000000000044
308,113332,-133.0,133,0.050000000000000044
309,113452,-120.0,120,0.050000000000000044
310,113578,-126.0,126,0.050000000000000044
311,113752,-174.0,174,0.050000000000000044
312,113856,-104.0,104,0.050000000000000044
313,113980,-124.0,124,0.050000000000000044
314,114102,-122.0,122,0.050000000000000044
315,114224,-122.0,122,0.050000000000000044
316,114347,-123.0,123,0.050000000000000044
317,114463,-116.0,116,0.050000000000000044
318,114592,-129.0,129,0.050000000000000044
319,114717,-125.0,125,0.050000000000000044
320,114846,-129.0,129,0.050000000000000044
321,114971,-125.0,125,0.050000000000000044
322,115255,-284.0,284,0.050000000000000044
323,115376,-121.0,121,0.050000000000000044
324,115509,-133.0,133,0.050000000000000044
325,115637,-128.0,128,0.050000000000000044
326,115761,-124.0,124,0.050000000000000044
327,115880,-119.0,119,0.050000000000000044
328,116003,-123.0,123,0.050000000000000044
329,116123,-120.0,120,0.050000000000000044
330,116249,-126.0,126,0.050000000000000044
331,116368,-119.0,119,0.050000000000000044
332,116597,-229.0,229,0.050000000000000044
333,116729,-132.0,132,0.050000000000000044
334,116846,-117.0,117,0.050000000000000044
335,116968,-122.0,122,0.050000000000000044
336,117087,-119.0,119,0.050000000000000044
337,117206,-119.0,119,0.050000000000000044
338,117325,-119.0,119,0.050000000000000044
339,117453,-128.0,128,0.050000000000000044
340,117777,-324.0,324,0.050000000000000044
341,117896,-119.0,119,0.050000000000000044
342,118019,-123.0,123,0.050000000000000044
343,118137,-118.0,118,0.050000000000000044
344,118249,-112.0,112,0.050000000000000044
345,118365,-116.0,116,0.050000000000000044
346,118481,-116.0,116,0.050000000000000044
347,118596,-115.0,115,0.050000000000000044
348,118716,-120.0,120,0.050000000000000044
349,118833,-117.0,117,0.050000000000000044
350,119031,-198.0,198,0.050000000000000044
351,119151,-120.0,120,0.050000000000000044
352,119282,-131.0,131,0.050000000000000044
353,119400,-118.0,118,0.050000000000000044
354,119524,-124.0,124,0.050000000000000044
355,119639,-115.0,115,0.050000000000000044
356,119919,-280.0,280,0.050000000000000044
357,120044,-125.0,125,0.050000000000000044
358,120175,-131.0,131,0.050000000000000044
359,120295,-120.0,120,0.050000000000000044
360,120424,-129.0,129,0.050000000000000044
361,120546,-122.0,122,0.050000000000000044
362,120658,-112.0,112,0.050000000000000044
363,120772,-114.0,114,0.050000000000000044
364,120922,-150.0,150,0.050000000000000044
365,121037,-115.0,115,0.050000000000000044
366,121151,-114.0,114,0.050000000000000044
367,121382,-231.0,231,0.050000000000000044
368,121555,-173.0,173,0.050000000000000044
369,121673,-118.0,118,0.050000000000000044
370,121794,-121.0,121,0.050000000000000044
371,121916,-122.0,122,0.050000000000000044
372,122034,-118.0,118,0.050000000000000044
373,122145,-111.0,111,0.050000000000000044
374,122259,-114.0,114,0.050000000000000044
375,122371,-112.0,112,0.050000000000000044
376,122512,-141.0,141,0.050000000000000044
377,122780,-268.0,268,0.050000000000000044
378,123096,-316.0,316,0.050000000000000044
379,123212,-116.0,116,0.050000000000000044
380,123326,-114.0,114,0.050000000000000044
381,123442,-116.0,116,0.050000000000000044
382,123555,-113.0,113,0.050000000000000044
383,123670,-115.0,115,0.050000000000000044
384,123787,-117.0,117,0.050000000000000044
385,123899,-112.0,112,0.050000000000000044
386,124014,-115.0,115,0.050000000000000044
387,124127,-113.0,113,0.050000000000000044
388,124239,-112.0,112,0.050000000000000044
389,124351,-112.0,112,0.050000000000000044
390,124469,-118.0,118,0.050000000000000044
391,124588,-119.0,119,0.050000000000000044
392,124702,-114.0,114,0.050000000000000044
393,124819,-117.0,117,0.050000000000000044
394,124930,-111.0,111,0.050000000000000044
395,125042,-112.0,112,0.050000000000000044
396,125157,-115.0,115,0.050000000000000044
397,125269,-112.0,112,0.050000000000000044
398,125387,-118.0,118,0.050000000000000044
399,125505,-118.0,118,0.050000000000000044
400,125627,-122.0,122,0.050000000000000044
401,125906,-279.0,279,0.050000000000000044
402,126022,-116.0,116,0.050000000000000044
403,126133,-111.0,111,0.050000000000000044
404,126252,-119.0,119,0.050000000000000044
405,126362,-110.0,110,0.050000000000000044
406,126492,-130.0,130,0.050000000000000044
407,126609,-117.0,117,0.050000000000000044
408,126719,-110.0,110,0.050000000000000044
409,126849,-130.0,130,0.050000000000000044
410,126964,-115.0,115,0.050000000000000044
411,127100,-136.0,136,0.050000000000000044
412,127212,-112.0,112,0.050000000000000044
413,127330,-118.0,118,0.050000000000000044
414,127445,-115.0,115,0.050000000000000044
415,127560,-115.0,115,0.050000000000000044
416,127676,-116.0,116,0.050000000000000044
417,127789,-113.0,113,0.050000000000000044
418,127913,-124.0,124,0.050000000000000044
419,128023,-110.0,110,0.050000000000000044
420,128139,-116.0,116,0.050000000000000044
421,128252,-113.0,113,0.050000000000000044
422,128367,-115.0,115,0.050000000000000044
423,128477,-110.0,110,0.050000000000000044
424,128590,-113.0,113,0.050000000000000044
425,128703,-113.0,113,0.050000000000000044
426,128822,-119.0,119,0.050000000000000044
427,128938,-116.0,116,0.050000000000000044
428,129052,-114.0,114,0.050000000000000044
429,129167,-115.0,115,0.050000000000000044
430,129284,-117.0,117,0.050000000000000044
431,129394,-110.0,110,0.050000000000000044
432,129520,-126.0,126,0.050000000000000044
433,129635,-115.0,115,0.050000000000000044
434,129747,-112.0,112,0.050000000000000044
435,129874,-127.0,127,0.050000000000000044
436,129990,-116.0,116,0.050000000000000044
437,130100,-110.0,110,0.050000000000000044
438,130209,-109.0,109,0.050000000000000044
439,130323,-114.0,114,0.050000000000000044
440,130436,-113.0,113,0.050000000000000044
441,130547,-111.0,111,0.050000000000000044
442,130667,-120.0,120,0.050000000000000044
443,130779,-112.0,112,0.050000000000000044
444,130900,-121.0,121,0.050000000000000044
445,131014,-114.0,114,0.050000000000000044
446,131124,-110.0,110,0.050000000000000044
447,131233,-109.0,109,0.050000000000000044
448,131346,-113.0,113,0.050000000000000044
449,131454,-108.0,108,0.050000000000000044
450,131561,-107.0,107,0.050000000000000044
451,131675,-114.0,114,0.050000000000000044
452,131788,-113.0,113,0.050000000000000044
453,131913,-125.0,125,0.050000000000000044
454,132022,-109.0,109,0.050000000000000044
455,132143,-121.0,121,0.050000000000000044
456,132257,-114.0,114,0.050000000000000044
457,132370,-113.0,113,0.050000000000000044
458,132488,-118.0,118,0.050000000000000044
459,132602,-114.0,114,0.050000000000000044
460,132717,-115.0,115,0.050000000000000044
461,132826,-109.0,109,0.050000000000000044
462,132934,-108.0,108,0.050000000000000044
463,133049,-115.0,115,0.050000000000000044
464,133165,-116.0,116,0.050000000000000044
465,133267,-102.0,102,0.050000000000000044
466,133381,-114.0,114,0.050000000000000044
467,133495,-114.0,114,0.050000000000000044
468,133604,-109.0,109,0.050000000000000044
469,133715,-111.0,111,0.050000000000000044
470,133827,-112.0,112,0.050000000000000044
471,133948,-121.0,121,0.050000000000000044
472,134052,-104.0,104,0.050000000000000044
473,134157,-105.0,105,0.050000000000000044
474,134269,-112.0,112,0.050000000000000044
475,134375,-106.0,106,0.050000000000000044
476,134489,-114.0,114,0.050000000000000044
477,134596,-107.0,107,0.050000000000000044
478,134709,-113.0,113,0.050000000000000044
479,134825,-116.0,116,0.050000000000000044
480,134936,-111.0,111,0.050000000000000044
481,135041,-105.0,105,0.050000000000000044
482,135150,-109.0,109,0.050000000000000044
483,135302,-152.0,152,0.050000000000000044
484,135413,-111.0,111,0.050000000000000044
485,135524,-111.0,111,0.050000000000000044
486,135634,-110.0,110,0.050000000000000044
487,135746,-112.0,112,0.050000000000000044
488,135857,-111.0,111,0.050000000000000044
489,135969,-112.0,112,0.050000000000000044
490,136080,-111.0,111,0.050000000000000044
491,136195,-115.0,115,0.050000000000000044
492,136302,-107.0,107,0.050000000000000044
493,136409,-107.0,107,0.050000000000000044
494,136520,-111.0,111,0.050000000000000044
495,136632,-112.0,112,0.050000000000000044
496,136733,-101.0,101,0.050000000000000044
497,136837,-104.0,104,0.050000000000000044
498,136953,-116.0,116,0.050000000000000044
499,137043,-90.0,90,0.050000000000000044
500,137159,-116.0,116,0.050000000000000044
501,137269,-110.0,110,0.050000000000000044
502,137373,-104.0,104,0.050000000000000044
503,137488,-115.0,115,0.050000000000000044
504,137594,-106.0,106,0.050000000000000044
505,137706,-112.0,112,0.050000000000000044
506,137816,-110.0,110,0.050000000000000044
507,137929,-113.0,113,0.050000000000000044
508,138041,-112.0,112,0.050000000000000044
509,138154,-113.0,113,0.050000000000000044
510,138255,-101.0,101,0.050000000000000044
511,138364,-109.0,109,0.050000000000000044
512,138469,-105.0,105,0.050000000000000044
513,138577,-108.0,108,0.050000000000000044
514,138689,-112.0,112,0.050000000000000044
515,138798,-109.0,109,0.050000000000000044
516,138912,-114.0,114,0.050000000000000044
517,139023,-111.0,111,0.050000000000000044
518,139131,-108.0,108,0.050000000000000044
519,139237,-106.0,106,0.050000000000000044
520,139348,-111.0,111,0.050000000000000044
521,139460,-112.0,112,0.050000000000000044
522,139569,-109.0,109,0.050000000000000044
523,139682,-113.0,113,0.050000000000000044
524,139781,-99.0,99,0.050000000000000044
525,139888,-107.0,107,0.050000000000000044
526,140004,-116.0,116,0.050000000000000044
527,140120,-116.0,116,0.050000000000000044
528,140223,-103.0,103,0.050000000000000044
529,140342,-119.0,119,0.050000000000000044
530,140447,-105.0,105,0.050000000000000044
531,140558,-111.0,111,0.050000000000000044
532,140701,-143.0,143,0.050000000000000044
533,140809,-108.0,108,0.050000000000000044
534,140916,-107.0,107,0.050000000000000044
535,141028,-112.0,112,0.050000000000000044
536,141136,-108.0,108,0.050000000000000044
537,141251,-115.0,115,0.050000000000000044
538,141355,-104.0,104,0.050000000000000044
539,141459,-104.0,104,0.050000000000000044
540,141591,-132.0,132,0.050000000000000044
541,141697,-106.0,106,0.050000000000000044
542,141799,-102.0,102,0.050000000000000044
543,141913,-114.0,114,0.050000000000000044
544,142013,-100.0,100,0.050000000000000044
545,142128,-115.0,115,0.050000000000000044
546,142233,-105.0,105,0.050000000000000044
547,142340,-107.0,107,0.050000000000000044
548,142461,-121.0,121,0.050000000000000044
549,142603,-142.0,142,0.050000000000000044
550,142706,-103.0,103,0.050000000000000044
551,142801,-95.0,95,0.050000000000000044
552,142908,-107.0,107,0.050000000000000044
553,143007,-99.0,99,0.050000000000000044
554,143121,-114.0,114,0.050000000000000044
555,143260,-139.0,139,0.050000000000000044
556,143378,-118.0,118,0.050000000000000044
557,143495,-117.0,117,0.050000000000000044
558,143617,-122.0,122,0.050000000000000044
559,143750,-133.0,133,0.050000000000000044
560,143863,-113.0,113,0.050000000000000044
561,143975,-112.0,112,0.050000000000000044
562,144097,-122.0,122,0.050000000000000044
563,144214,-117.0,117,0.050000000000000044
564,144348,-134.0,134,0.050000000000000044
565,144502,-154.0,154,0.050000000000000044
566,144617,-115.0,115,0.050000000000000044
567,144728,-111.0,111,0.050000000000000044
568,144871,-143.0,143,0.050000000000000044
569,145016,-145.0,145,0.050000000000000044
570,145142,-126.0,126,0.050000000000000044
571,145336,-194.0,194,0.050000000000000044
572,145466,-130.0,130,0.050000000000000044
573,145584,-118.0,118,0.050000000000000044
574,145697,-113.0,113,0.050000000000000044
575,145829,-132.0,132,0.050000000000000044
576,145944,-115.0,115,0.050000000000000044
577,146071,-127.0,127,0.050000000000000044
578,146216,-145.0,145,0.050000000000000044
579,146332,-116.0,116,0.050000000000000044
580,146470,-138.0,138,0.050000000000000044
581,146598,-128.0,128,0.050000000000000044
582,146806,-208.0,208,0.050000000000000044
583,146916,-110.0,110,0.050000000000000044
584,147130,-214.0,214,0.050000000000000044
585,147242,-112.0,112,0.050000000000000044
586,147352,-110.0,110,0.050000000000000044
587,147467,-115.0,115,0.050000000000000044
588,147587,-120.0,120,0.050000000000000044
589,147941,-354.0,354,0.050000000000000044
590,148051,-110.0,110,0.050000000000000044
591,148171,-120.0,120,0.050000000000000044
592,148324,-153.0,153,0.050000000000000044
593,148495,-171.0,171,0.050000000000000044
594,148601,-106.0,106,0.050000000000000044
595,148716,-115.0,115,0.050000000000000044
596,148864,-148.0,148,0.050000000000000044
597,149064,-200.0,200,0.050000000000000044
598,149167,-103.0,103,0.050000000000000044
599,149348,-181.0,181,0.050000000000000044
600,149461,-113.0,113,0.050000000000000044
